"variable","mean"
"Alabama",6
"Alaska",7.88333333333333
"Arizona",7.90833333333333
"Arkansas",6.08333333333333
"California",10.2166666666667
"Colorado",7.28333333333333
"Connecticut",7.93333333333333
"Delaware",7.86666666666667
"District of Columbia",8.06666666666667
"Florida",7.85
"Georgia",6.55
"Hawaii",11.8083333333333
"Idaho",5.375
"Illinois",9.55
"Indiana",7.175
"Iowa",5.25
"Kansas",5.925
"Kentucky",6.60833333333333
"Louisiana",8.35
"Maine",5.45833333333333
"Maryland",6.80833333333333
"Massachusetts",9.00833333333333
"Michigan",9.98333333333333
"Minnesota",6.18333333333333
"Mississippi",8.11666666666667
"Missouri",6.11666666666667
"Montana",5.9
"Nebraska",4.25
"Nevada",13.0166666666667
"New Hampshire",6.70833333333333
"New Jersey",9.84166666666667
"New Mexico",8.46666666666667
"New York",10.0833333333333
"North Carolina",7.41666666666667
"North Dakota",5.125
"Ohio",8.18333333333333
"Oklahoma",6.15
"Oregon",7.59166666666667
"Pennsylvania",9.11666666666667
"Puerto Rico",NA
"Rhode Island",9.46666666666667
"South Carolina",6.175
"South Dakota",4.64166666666667
"Tennessee",7.51666666666667
"Texas",7.7
"Utah",4.7
"Vermont",5.58333333333333
"Virginia",6.26666666666667
"Washington",8.40833333333333
"West Virginia",8.35833333333333
"Wisconsin",6.275
"Wyoming",5.85833333333333
