"submission_date","NAME","new_case"
2020-01-22,"New Hampshire",0
2020-01-22,"Illinois",0
2020-01-22,"Vermont",0
2020-01-22,"Maine",0
2020-01-22,"Alabama",0
2020-01-22,"Nevada",0
2020-01-22,"Montana",0
2020-01-22,"Idaho",0
2020-01-22,"Michigan",0
2020-01-22,"Maryland",0
2020-01-22,"District of Columbia",0
2020-01-22,"Oregon",0
2020-01-22,"Virginia",0
2020-01-22,"Rhode Island",0
2020-01-22,"Kentucky",0
2020-01-22,"Georgia",0
2020-01-22,"Kansas",0
2020-01-22,"Arkansas",0
2020-01-22,"Florida",0
2020-01-22,"Ohio",0
2020-01-22,"New York",0
2020-01-22,"Tennessee",0
2020-01-22,"Pennsylvania",0
2020-01-22,"Oklahoma",0
2020-01-22,"Hawaii",0
2020-01-22,"West Virginia",0
2020-01-22,"Massachusetts",0
2020-01-22,"Texas",0
2020-01-22,"Utah",0
2020-01-22,"Alaska",0
2020-01-22,"Colorado",0
2020-01-22,"New Mexico",0
2020-01-22,"South Dakota",0
2020-01-22,"Iowa",0
2020-01-22,"North Dakota",0
2020-01-22,"Delaware",0
2020-01-22,"Wisconsin",0
2020-01-22,"Nebraska",0
2020-01-22,"California",0
2020-01-22,"Connecticut",0
2020-01-22,"Missouri",0
2020-01-22,"Mississippi",0
2020-01-22,"Washington",0
2020-01-22,"North Carolina",0
2020-01-22,"Indiana",0
2020-01-22,"New Jersey",0
2020-01-22,"Minnesota",0
2020-01-22,"South Carolina",0
2020-01-22,"Louisiana",0
2020-01-22,"Wyoming",0
2020-01-22,"Arizona",0
2020-01-23,"Michigan",0
2020-01-23,"Maine",0
2020-01-23,"Illinois",0
2020-01-23,"North Dakota",0
2020-01-23,"New Hampshire",0
2020-01-23,"Wisconsin",0
2020-01-23,"California",0
2020-01-23,"Mississippi",0
2020-01-23,"Maryland",0
2020-01-23,"Delaware",0
2020-01-23,"Vermont",0
2020-01-23,"Nebraska",0
2020-01-23,"North Carolina",0
2020-01-23,"South Carolina",0
2020-01-23,"Minnesota",0
2020-01-23,"Kansas",0
2020-01-23,"Alaska",0
2020-01-23,"Oklahoma",0
2020-01-23,"Arkansas",0
2020-01-23,"West Virginia",0
2020-01-23,"Massachusetts",0
2020-01-23,"Colorado",0
2020-01-23,"Texas",0
2020-01-23,"Pennsylvania",0
2020-01-23,"New Mexico",0
2020-01-23,"Tennessee",0
2020-01-23,"Hawaii",0
2020-01-23,"Florida",0
2020-01-23,"Utah",0
2020-01-23,"Georgia",0
2020-01-23,"South Dakota",0
2020-01-23,"Ohio",0
2020-01-23,"Iowa",0
2020-01-23,"New York",0
2020-01-23,"Alabama",0
2020-01-23,"Washington",1
2020-01-23,"Nevada",0
2020-01-23,"Connecticut",0
2020-01-23,"Idaho",0
2020-01-23,"Missouri",0
2020-01-23,"Indiana",0
2020-01-23,"Montana",0
2020-01-23,"Oregon",0
2020-01-23,"Kentucky",0
2020-01-23,"New Jersey",0
2020-01-23,"Wyoming",0
2020-01-23,"Arizona",0
2020-01-23,"District of Columbia",0
2020-01-23,"Louisiana",0
2020-01-23,"Rhode Island",0
2020-01-23,"Virginia",0
2020-01-24,"Indiana",0
2020-01-24,"Montana",0
2020-01-24,"Vermont",0
2020-01-24,"Nevada",0
2020-01-24,"North Carolina",0
2020-01-24,"Michigan",0
2020-01-24,"Nebraska",0
2020-01-24,"Connecticut",0
2020-01-24,"California",0
2020-01-24,"Oregon",0
2020-01-24,"District of Columbia",0
2020-01-24,"Kentucky",0
2020-01-24,"Virginia",0
2020-01-24,"Rhode Island",0
2020-01-24,"Louisiana",0
2020-01-24,"Florida",0
2020-01-24,"Kansas",0
2020-01-24,"Oklahoma",0
2020-01-24,"Hawaii",0
2020-01-24,"West Virginia",0
2020-01-24,"Arkansas",0
2020-01-24,"Tennessee",0
2020-01-24,"New Mexico",0
2020-01-24,"New York",0
2020-01-24,"South Dakota",0
2020-01-24,"Iowa",0
2020-01-24,"Pennsylvania",0
2020-01-24,"Massachusetts",0
2020-01-24,"Texas",0
2020-01-24,"Alaska",0
2020-01-24,"Colorado",0
2020-01-24,"Utah",0
2020-01-24,"Georgia",0
2020-01-24,"Ohio",0
2020-01-24,"Washington",0
2020-01-24,"Missouri",0
2020-01-24,"North Dakota",0
2020-01-24,"Maryland",0
2020-01-24,"Mississippi",0
2020-01-24,"Wisconsin",0
2020-01-24,"New Hampshire",0
2020-01-24,"Idaho",0
2020-01-24,"Delaware",0
2020-01-24,"Illinois",1
2020-01-24,"Alabama",0
2020-01-24,"Maine",0
2020-01-24,"Minnesota",0
2020-01-24,"Arizona",0
2020-01-24,"South Carolina",0
2020-01-24,"Wyoming",0
2020-01-24,"New Jersey",0
2020-01-25,"New Hampshire",0
2020-01-25,"Michigan",0
2020-01-25,"Indiana",0
2020-01-25,"Alabama",0
2020-01-25,"Maine",0
2020-01-25,"Nevada",0
2020-01-25,"Nebraska",0
2020-01-25,"Oregon",0
2020-01-25,"Minnesota",0
2020-01-25,"South Carolina",0
2020-01-25,"Kentucky",0
2020-01-25,"Georgia",0
2020-01-25,"Oklahoma",0
2020-01-25,"Massachusetts",0
2020-01-25,"Texas",0
2020-01-25,"Hawaii",0
2020-01-25,"Tennessee",0
2020-01-25,"Ohio",0
2020-01-25,"Iowa",0
2020-01-25,"Utah",0
2020-01-25,"Colorado",0
2020-01-25,"Kansas",0
2020-01-25,"Alaska",0
2020-01-25,"Florida",0
2020-01-25,"West Virginia",0
2020-01-25,"Arkansas",0
2020-01-25,"Pennsylvania",0
2020-01-25,"New York",0
